Timestamp,Column 2,Gender,Ready_Time,Breakfast,Wakeup_Time
11/2/2024 16:54:26,,Male,30,No,1
11/2/2024 17:19:00,,Male,30,No,2
11/2/2024 17:27:55,,Male,45,Yes,5
11/2/2024 19:18:37,,Male,15,No,10
11/3/2024 11:53:54,,Female,80,Yes,10
11/3/2024 18:02:59,,Female,60,No,20
11/3/2024 18:03:38,,Female,45,No,15
11/3/2024 18:07:07,,Female,60,No,30
11/3/2024 18:15:06,,Male,15,Yes,5
11/3/2024 18:38:56,,Male,20,Yes,5
11/3/2024 18:42:33,,Male,25,No,3
11/3/2024 19:23:31,,Male,30,Yes,2
11/3/2024 21:33:28,,Female,1,No,15
11/4/2024 8:37:06,,Female,40,Yes,10
11/4/2024 8:37:46,,Female,20,Yes,40
11/4/2024 8:38:06,,Female,60,Yes,5
11/4/2024 8:38:32,,Male,20,Yes,1
11/4/2024 8:40:11,,Male,30,No,1
11/4/2024 10:00:53,,Female,35,Yes,10
11/4/2024 11:11:22,,Female,60,No,20
11/4/2024 11:11:43,,Female,30,Yes,60
11/4/2024 11:13:18,,Female,120,No,30
